Dataset Name,Algorithm Name,Cross Validation,Hyper Parameters,Mean Squared Error,Mean Absolute Error,Median Absolute Error,r2 Score,Explained Variance Score,Training Time,Inference Time
Acorns.csv,MERCS,1,nb_iterations:2 regressor_algorithm:RF max_depth:3,3.171609718,1.701615958,1.611950263,-22.17157785,-1.017262827,2632.566214,3040.730953
Acorns.csv,MERCS,2,nb_iterations:10 regressor_algorithm:RF max_depth:9,10.56117416,2.637745393,1.789489556,0.137511297,0.144340658,7196.362019,17256.0811
Acorns.csv,MERCS,3,nb_iterations:5 regressor_algorithm:xgb max_depth:12,1.826471929,1.229206067,1.252523053,0.096923644,0.097192461,2427.558661,504.3148994
Acorns.csv,MERCS,4,nb_iterations:5 regressor_algorithm:RF max_depth:6,66.00780467,5.625281587,3.176789767,-0.624407645,-0.147261472,4596.012354,7811.546326
Acorns.csv,MERCS,5,nb_iterations:5 regressor_algorithm:RF max_depth:6,11.83038276,2.799230266,2.58144751,-8.082827458,-2.603926037,3779.213905,11723.99521
Acorns.csv,MERCS,6,nb_iterations:5 regressor_algorithm:RF max_depth:6,4.145575285,2.014287536,1.961090218,0.398919759,0.400422962,3794.470787,7801.949978
Acorns.csv,MERCS,7,nb_iterations:5 regressor_algorithm:RF max_depth:6,15.13068246,3.265852222,3.544145809,-1.837778917,-1.783753083,6557.276487,20974.81489
Acorns.csv,MERCS,8,nb_iterations:5 regressor_algorithm:RF max_depth:6,5.793101944,1.933668058,1.8220831,-1.381542423,-1.378137366,7925.789595,20193.93444
Acorns.csv,MERCS,9,nb_iterations:5 regressor_algorithm:RF max_depth:6,29.82284354,4.823122304,4.643209913,-0.642962148,-0.573581885,7002.030134,16522.46714
Acorns.csv,MERCS,10,nb_iterations:5 regressor_algorithm:RF max_depth:6,2.989637704,1.55132951,1.869022932,-2.726695199,0.273250679,9620.667219,22656.20232
Admission_Predict_kaggle.csv,MERCS,1,nb_iterations:10 regressor_algorithm:RF max_depth:3,0.005260835,0.050121126,0.033788406,0.751048147,0.751108729,13388.62777,1767.373085
Admission_Predict_kaggle.csv,MERCS,2,nb_iterations:5 regressor_algorithm:RF max_depth:9,0.003235711,0.044423934,0.034285484,0.864381968,0.86438274,9415.009022,1004.66013
Admission_Predict_kaggle.csv,MERCS,3,nb_iterations:5 regressor_algorithm:xgb max_depth:12,0.006451156,0.062989415,0.047358756,0.68380462,0.683842255,8282.718897,0
Admission_Predict_kaggle.csv,MERCS,4,nb_iterations:5 regressor_algorithm:xgb max_depth:12,0.007340918,0.068535668,0.058608865,0.511238827,0.522517725,8364.234447,251.686573
Admission_Predict_kaggle.csv,MERCS,5,nb_iterations:5 regressor_algorithm:xgb max_depth:12,0.008111956,0.059705514,0.033420837,0.640582796,0.695299897,8694.50736,200.676918
