Dataset Name,Algorithm Name,Cross Validation,Hyper Parameters,Mean Squared Error,Mean Absolute Error,Median Absolute Error,r2 Score,Explained Variance Score,Training Time,Inference Time
Acorns.csv,XGBoost,1,n_estimators:200 learning_rate:0.005 max_depth:3,19.07566359741542,3.7475928604602813,4.416450250148773,-2.1134409625486765,0.043851653942664215,11113.487243652344,517.6067352294922
Acorns.csv,XGBoost,2,n_estimators:100 learning_rate:0.01 max_depth:3,8.102583699780345,2.337494444847107,2.6553691625595093,-1.782002987049045,0.09400740941141283,10645.503759384155,512.8383636474609
Acorns.csv,XGBoost,3,n_estimators:200 learning_rate:0.005 max_depth:3,1.6684739099446482,1.1086839914321898,0.9938316822052001,-0.4765255840218128,-0.351855000231057,11788.313150405884,447.33285903930664
Acorns.csv,XGBoost,4,n_estimators:100 learning_rate:0.01 max_depth:3,1.025681170872481,0.9182635962963104,0.841568386554718,-1.3049015075786086,0.5899480031697808,11863.418340682983,453.8893699645996
Acorns.csv,XGBoost,5,n_estimators:50 learning_rate:0.05 max_depth:12,57.48620824600982,4.746436536312103,1.8810428857803345,-0.16141086171621577,-0.01297759716993907,11938.488960266113,433.7430000305176
Acorns.csv,XGBoost,6,n_estimators:100 learning_rate:0.01 max_depth:3,18.484884884641254,2.6239614605903627,0.7662808537483214,-0.20895257584311677,0.016749009312999275,12869.470119476318,435.82916259765625
Acorns.csv,XGBoost,7,n_estimators:50 learning_rate:0.01 max_depth:3,2.5237599652249196,1.3335280120372772,1.305356228351593,-0.6603683981742892,0.0638728944522462,11510.162830352783,441.7896270751953
Acorns.csv,XGBoost,8,n_estimators:100 learning_rate:0.01 max_depth:3,18.598601717462024,3.856502541899681,3.0992994725704195,-1.1267697790122386,-0.26074490641770764,11394.191026687622,435.6503486633301
Acorns.csv,XGBoost,9,n_estimators:100 learning_rate:0.01 max_depth:3,3.526350763626073,1.8420472741127014,1.7416250705718994,-40.48647957207145,-0.5672071007063466,11159.024000167847,432.7893257141113
Acorns.csv,XGBoost,10,n_estimators:200 learning_rate:0.005 max_depth:3,10.667340500523968,2.06424978574117,0.41688432693481436,-0.8328763746604759,-0.3387864031154373,11453.01628112793,581.1055501302083
Admission_Predict_kaggle.csv,XGBoost,1,n_estimators:100 learning_rate:0.05 max_depth:3,0.0027489414913396504,0.043255197584629056,0.035655786991119376,0.8493931842615733,0.8630930906583438,25952.248573303223,48.86984825134277
Admission_Predict_kaggle.csv,XGBoost,2,n_estimators:500 learning_rate:0.01 max_depth:3,0.004316224052904996,0.04891413760185241,0.03301080942153933,0.680581372932601,0.696318789774537,23448.098182678223,55.0687313079834
Admission_Predict_kaggle.csv,XGBoost,3,n_estimators:200 learning_rate:0.05 max_depth:3,0.006230866663807103,0.054428137302398684,0.0371909761428833,0.6855916204510046,0.6855934397937488,25422.56760597229,50.67586898803711
Admission_Predict_kaggle.csv,XGBoost,4,n_estimators:500 learning_rate:0.01 max_depth:3,0.004420817935973133,0.050670164644718164,0.03998686313629152,0.8234074484312083,0.8234475528478915,23398.6918926239,55.95684051513672
Admission_Predict_kaggle.csv,XGBoost,5,n_estimators:500 learning_rate:0.01 max_depth:3,0.005592723726903394,0.052627731829881674,0.029674019813537567,0.7219893074229915,0.7239209128219827,21046.720027923584,55.07469177246094
Admission_Predict_kaggle.csv,XGBoost,6,n_estimators:100 learning_rate:0.05 max_depth:3,0.005566842376782516,0.05154571789503097,0.03372387051582332,0.6675519631661682,0.6794494540345108,24243.6740398407,49.63278770446777
Admission_Predict_kaggle.csv,XGBoost,7,n_estimators:500 learning_rate:0.01 max_depth:3,0.0030453746296746345,0.04322818371653556,0.03849470615386963,0.7886294091947297,0.7984841296044032,27215.61288833618,55.32503128051758
Admission_Predict_kaggle.csv,XGBoost,8,n_estimators:200 learning_rate:0.05 max_depth:3,0.005035941578145268,0.04836806234717368,0.0300427711009979,0.8009307631199694,0.805774633072984,24453.40633392334,51.49245262145996
Admission_Predict_kaggle.csv,XGBoost,9,n_estimators:500 learning_rate:0.01 max_depth:3,0.004149114522101799,0.046940421164035795,0.03222627282142637,0.8184984310608111,0.820169198565047,24932.777166366577,55.39059638977051
Admission_Predict_kaggle.csv,XGBoost,10,n_estimators:500 learning_rate:0.01 max_depth:3,0.003916386018988075,0.040164285063743595,0.02480757117271426,0.8366743392556789,0.8413233147070073,22159.399271011353,55.9389591217041
analcatdata_birthday.csv,XGBoost,1,n_estimators:200 learning_rate:0.05 max_depth:3,112636.16632229573,255.7983794341216,192.755859375,0.8228743546378429,0.8364574231261104,13049.529075622559,52.2716625316723
analcatdata_birthday.csv,XGBoost,2,n_estimators:100 learning_rate:0.1 max_depth:3,184071.03509396475,312.24675358952703,246.146484375,0.7317004667655002,0.7318986885275338,12809.664011001587,49.539514490076016
analcatdata_birthday.csv,XGBoost,3,n_estimators:100 learning_rate:0.1 max_depth:6,80081.3042503241,227.4452465160473,207.9208984375,0.8558180097610036,0.8614275814276556,12285.83288192749,49.475077036264786
analcatdata_birthday.csv,XGBoost,4,n_estimators:200 learning_rate:0.05 max_depth:3,173266.5256616425,263.5189110008446,188.4287109375,0.7799555950644187,0.7841400484912628,12982.383728027344,51.762606646563555
analcatdata_birthday.csv,XGBoost,5,n_estimators:100 learning_rate:0.1 max_depth:3,149328.3616254845,248.79599081503378,188.34716796875,0.7781551384764271,0.7790940960980941,12474.473714828491,50.42230760728991
analcatdata_birthday.csv,XGBoost,6,n_estimators:100 learning_rate:0.1 max_depth:3,111584.71415184604,261.53814019097223,237.794921875,0.8324154047334684,0.8450414063815391,13472.328901290894,51.1010487874349
analcatdata_birthday.csv,XGBoost,7,n_estimators:100 learning_rate:0.1 max_depth:3,70147.09258293443,199.52220323350696,138.41015625,0.9042665254104729,0.9096409563171276,14379.041194915771,51.67722702026367
analcatdata_birthday.csv,XGBoost,8,n_estimators:200 learning_rate:0.05 max_depth:3,229468.26578494575,330.9193386501736,235.96826171875,0.6602332421888576,0.6888413382143141,14267.3921585083,53.34615707397461
analcatdata_birthday.csv,XGBoost,9,n_estimators:100 learning_rate:0.1 max_depth:3,115315.13209625085,252.07698567708334,196.7666015625,0.8151853847420223,0.8211999005889363,13019.112586975098,50.048033396403
analcatdata_birthday.csv,XGBoost,10,n_estimators:200 learning_rate:0.05 max_depth:3,95736.2435347504,244.739990234375,178.96435546875,0.7968198340533579,0.7972574310794145,14014.56332206726,53.45212088690864
airfoil_self_noise_uci.csv,XGBoost,1,n_estimators:500 learning_rate:0.1 max_depth:9,3.397907148130125,1.3269020163428693,1.0299744873046848,0.9176442164188564,0.9178236113341856,21413.76495361328,28.417599911721336
airfoil_self_noise_uci.csv,XGBoost,2,n_estimators:500 learning_rate:0.1 max_depth:12,3.039434056346373,1.1718327770106851,0.7917781372070323,0.9388882628728775,0.9391179009490588,22540.85612297058,31.373358720185742
airfoil_self_noise_uci.csv,XGBoost,3,n_estimators:500 learning_rate:0.1 max_depth:9,3.803956802450843,1.3272993519764062,0.9039645996093668,0.922537011358964,0.9230099598606423,23883.015155792236,28.517072563929272
airfoil_self_noise_uci.csv,XGBoost,4,n_estimators:500 learning_rate:0.1 max_depth:12,2.176206049101388,1.0575359928385422,0.7031903381347675,0.9492416388525943,0.9492418472675525,22212.63837814331,31.186739603678387
airfoil_self_noise_uci.csv,XGBoost,5,n_estimators:500 learning_rate:0.1 max_depth:12,2.763566184885195,1.167556348470051,0.8113972167968768,0.9424111975634027,0.9424744187323231,23505.832195281982,31.401316324869796
airfoil_self_noise_uci.csv,XGBoost,6,n_estimators:500 learning_rate:0.1 max_depth:12,2.1504284941778384,1.0399441784667973,0.821488281249998,0.9526570465876886,0.9541525287089907,21129.814863204956,31.76530202229818
airfoil_self_noise_uci.csv,XGBoost,7,n_estimators:500 learning_rate:0.1 max_depth:12,2.3331524754478496,1.0511016573079424,0.7345451354980455,0.9458216686535391,0.9465223635325669,23408.678770065308,30.992825826009117
airfoil_self_noise_uci.csv,XGBoost,8,n_estimators:500 learning_rate:0.1 max_depth:12,3.5572548952317447,1.246223736979167,0.8217866516113332,0.9284818229465855,0.9286094413664143,26614.400625228882,31.202634175618492
airfoil_self_noise_uci.csv,XGBoost,9,n_estimators:500 learning_rate:0.1 max_depth:9,2.138468697363287,1.1416683353678392,0.9136105957031262,0.9591088906051524,0.9608448608811452,20156.317472457886,28.349558512369793
airfoil_self_noise_uci.csv,XGBoost,10,n_estimators:500 learning_rate:0.1 max_depth:12,2.6493687043955525,1.1478485485839844,0.8135921325683597,0.949438480567737,0.9498039621136412,20475.025415420532,30.312538146972656
analcatdata_apnea1.csv,XGBoost,1,n_estimators:500 learning_rate:0.01 max_depth:3,13318027.234190082,1778.2451566457748,517.5138702392578,0.3055580747334282,0.32218054440186794,16204.15735244751,42.51301288604736
analcatdata_apnea1.csv,XGBoost,2,n_estimators:50 learning_rate:0.1 max_depth:3,2130537.1325500295,1077.1602387428284,530.0120544433594,-13.039290032487415,-11.194002847766939,16941.840887069702,35.91676553090413
analcatdata_apnea1.csv,XGBoost,3,n_estimators:500 learning_rate:0.005 max_depth:3,6323813.950678424,1117.0807022402685,208.68018341064453,0.17581494145965393,0.17702820740962288,17156.835794448853,41.21661186218262
analcatdata_apnea1.csv,XGBoost,4,n_estimators:500 learning_rate:0.01 max_depth:3,12709337.295472637,1771.9508437216282,550.0127258300781,0.2829069741466832,0.2891037577742678,16763.04841041565,42.57758458455403
analcatdata_apnea1.csv,XGBoost,5,n_estimators:500 learning_rate:0.01 max_depth:3,7989227.874443404,1614.1591534614563,629.2261657714844,0.3577708731620849,0.3600268722687936,15225.051403045654,41.37555758158366
analcatdata_apnea1.csv,XGBoost,6,n_estimators:500 learning_rate:0.01 max_depth:3,4702150.517840593,1411.3334938211644,848.6571655273438,0.2739898552409621,0.2921585894677968,16191.763639450073,44.25454646983045
analcatdata_apnea1.csv,XGBoost,7,n_estimators:50 learning_rate:0.05 max_depth:3,16337313.112379802,1631.279863316962,276.96014404296875,0.20836226288316118,0.23193214842060372,16785.76374053955,36.483115338264625
analcatdata_apnea1.csv,XGBoost,8,n_estimators:500 learning_rate:0.01 max_depth:3,6408394.809331596,1338.1741414577402,639.5460205078125,0.15726446782551862,0.17306851139629953,15581.360578536987,45.30967550074801
analcatdata_apnea1.csv,XGBoost,9,n_estimators:500 learning_rate:0.005 max_depth:3,3556526.0275262757,887.5796597257573,235.1181640625,0.20645138900580418,0.20995287444952948,16271.494626998901,44.24947373410489
analcatdata_apnea1.csv,XGBoost,10,n_estimators:500 learning_rate:0.005 max_depth:3,2110322.2656168058,712.1657389782845,268.902587890625,0.28202430473585205,0.29330011624009666,14992.663383483887,43.61030903268367
analcatdata_chlamydia.csv,XGBoost,1,n_estimators:100 learning_rate:0.01 max_depth:3,3527709.9525997704,1501.8214363098145,1325.0576171875,0.4988111061242104,0.606108485693734,10266.514539718628,169.06261444091797
analcatdata_chlamydia.csv,XGBoost,2,n_estimators:100 learning_rate:0.01 max_depth:3,8309542.872347951,1854.0505645751953,891.6703796386719,0.28069367793920486,0.284352952260988,10685.195446014404,170.39775848388672
analcatdata_chlamydia.csv,XGBoost,3,n_estimators:50 learning_rate:0.01 max_depth:3,807826.5074503181,792.6637542724609,646.0830688476562,-2.186719490194939,0.29186505055425405,11255.988597869873,166.46385192871094
analcatdata_chlamydia.csv,XGBoost,4,n_estimators:500 learning_rate:0.005 max_depth:3,72759998.88072586,4297.662261962891,1735.3849487304688,0.34470271450623857,0.38430576909613223,10836.367130279541,183.9160919189453
analcatdata_chlamydia.csv,XGBoost,5,n_estimators:500 learning_rate:0.005 max_depth:6,248984409.85903224,8126.993896484375,1200.3778686523438,0.159524468975747,0.2833450188494865,10856.834650039673,181.98490142822266
analcatdata_chlamydia.csv,XGBoost,6,n_estimators:500 learning_rate:0.01 max_depth:3,13471781.326645706,2886.102522277832,1957.256591796875,0.3049007739321963,0.31557102852992747,11802.992820739746,181.4126968383789
analcatdata_chlamydia.csv,XGBoost,7,n_estimators:100 learning_rate:0.01 max_depth:12,318251778.9807544,7881.916439819336,1336.3004150390625,-0.009520628550638621,0.12778024293338186,11668.80750656128,171.30374908447266
analcatdata_chlamydia.csv,XGBoost,8,n_estimators:500 learning_rate:0.005 max_depth:6,8076423.601305713,2360.2416961669924,1842.9667358398438,-1.4990279493217127,-1.2585169593040453,11964.385747909546,183.39157104492188
analcatdata_chlamydia.csv,XGBoost,9,n_estimators:500 learning_rate:0.01 max_depth:6,10276706.297559025,2724.9062377929686,2631.49462890625,-5.892575881708874,-3.641532719508504,11241.039752960205,184.65518951416016
analcatdata_chlamydia.csv,XGBoost,10,n_estimators:100 learning_rate:0.01 max_depth:3,30686042.72273729,3139.8694274902346,1344.35205078125,0.2372267477320129,0.28564322746336634,11280.35593032837,169.01493072509766
analcatdata_election2000.csv,XGBoost,1,n_estimators:500 learning_rate:0.01 max_depth:6,402901970.31635445,8542.311314174107,1794.203125,0.9677088890628316,0.972572289166977,18424.726724624634,299.35155596051897
analcatdata_election2000.csv,XGBoost,2,n_estimators:50 learning_rate:0.05 max_depth:6,1246219050.589002,22676.151018415178,17305.47265625,0.8298892596580243,0.8536644036245413,17768.800973892212,280.99332536969865
analcatdata_election2000.csv,XGBoost,3,n_estimators:500 learning_rate:0.05 max_depth:9,210136288.33380875,6564.478620256697,664.36474609375,0.9066410744091813,0.9220914315201328,15516.543626785278,314.03132847377236
analcatdata_election2000.csv,XGBoost,4,n_estimators:500 learning_rate:0.01 max_depth:3,18259076.892327767,2344.6648995535716,785.001953125,0.9027558903461264,0.9293087998542916,16222.134828567505,291.3475036621094
analcatdata_election2000.csv,XGBoost,5,n_estimators:500 learning_rate:0.01 max_depth:3,476498373.5702397,11309.238002232143,1325.740234375,0.830971313965473,0.8511554298361059,16983.901977539062,289.9169921875
analcatdata_election2000.csv,XGBoost,6,n_estimators:500 learning_rate:0.01 max_depth:3,2735944764.3682904,21715.30486188616,1797.71875,0.8345906372080425,0.8623991339076545,17181.97989463806,292.5055367606027
analcatdata_election2000.csv,XGBoost,7,n_estimators:500 learning_rate:0.005 max_depth:9,163865455.75910583,8369.668666294643,3435.046875,0.6649124370567552,0.7231858695552947,17239.224910736084,299.5899745396205
analcatdata_election2000.csv,XGBoost,8,n_estimators:200 learning_rate:0.01 max_depth:12,2777990.7296264526,932.4884948730469,277.4031982421875,0.9994774858601786,0.9995138633104534,18101.073503494263,334.14363861083984
analcatdata_election2000.csv,XGBoost,9,n_estimators:500 learning_rate:0.05 max_depth:12,54893307.10434548,5310.182454427083,2416.83984375,0.9125642972739809,0.9308429212813649,16583.797216415405,367.6017125447591
analcatdata_election2000.csv,XGBoost,10,n_estimators:500 learning_rate:0.01 max_depth:3,177909285.70219392,6527.895751953125,998.983154296875,0.8500257810002126,0.8720876034839016,17304.48269844055,332.71312713623047
analcatdata_galapagos.csv,XGBoost,1,n_estimators:100 learning_rate:0.01 max_depth:6,468.8307143246869,20.421382268269856,24.678346633911133,-20.097382144610908,-1.330903726004617,13136.621952056885,614.2457326253254
analcatdata_galapagos.csv,XGBoost,2,n_estimators:100 learning_rate:0.01 max_depth:12,19109.53683903701,113.1957238515218,121.7428970336914,-0.3098891951997218,0.44844146424691844,12216.353178024292,611.5436553955078
analcatdata_galapagos.csv,XGBoost,3,n_estimators:200 learning_rate:0.1 max_depth:3,325.38439737528256,17.563403983910877,18.03364223241806,-0.04887520643894794,0.9454866974000593,11513.018608093262,614.9609883626301
analcatdata_galapagos.csv,XGBoost,4,n_estimators:200 learning_rate:0.1 max_depth:3,7584.642343267925,65.23404693603516,50.49168014526367,0.7082605453008721,0.7417458928779002,12646.536111831665,629.3455759684244
analcatdata_galapagos.csv,XGBoost,5,n_estimators:100 learning_rate:0.1 max_depth:3,702.3206559854738,22.540975252787273,24.211395263671875,0.5684813009373795,0.5936482310909419,12607.63669013977,609.3184153238932
analcatdata_galapagos.csv,XGBoost,6,n_estimators:50 learning_rate:0.05 max_depth:12,18441.994681943233,91.56992157300313,21.710378885269165,-0.2559624685020969,0.16366263616787524,11642.96579360962,603.1990051269531
analcatdata_galapagos.csv,XGBoost,7,n_estimators:100 learning_rate:0.01 max_depth:12,1198.4200184495032,28.962743123372395,25.6746826171875,-1.3830711811854908,0.2849722132188611,11669.287204742432,602.4042765299479
analcatdata_galapagos.csv,XGBoost,8,n_estimators:100 learning_rate:0.01 max_depth:6,1025.667342470441,26.124296188354492,24.443328857421875,0.1864087711762763,0.22469007840318422,13013.000011444092,617.6630655924479
analcatdata_galapagos.csv,XGBoost,9,n_estimators:100 learning_rate:0.05 max_depth:3,23009.21942404301,119.79888280232747,100.78639221191406,0.3888797820432538,0.43479582732853295,12539.791107177734,604.3116251627604
analcatdata_galapagos.csv,XGBoost,10,n_estimators:100 learning_rate:0.01 max_depth:3,333.9716146937487,16.56760597229004,18.562644958496094,0.7603456759493112,0.8703038116961892,12663.718700408936,615.6762440999348
analcatdata_gsssexsurvey.csv,XGBoost,1,n_estimators:200 learning_rate:0.01 max_depth:6,0.16203002368747887,0.3435392938554287,0.271290585398674,-1.765312404266306,-0.6543511664447206,19665.0972366333,135.1684331893921
analcatdata_gsssexsurvey.csv,XGBoost,2,n_estimators:50 learning_rate:0.05 max_depth:3,0.4550751962557757,0.5316644664853811,0.3490568697452545,0.08268306896473565,0.0867031872700369,19675.769090652466,124.78232383728027
analcatdata_gsssexsurvey.csv,XGBoost,3,n_estimators:200 learning_rate:0.01 max_depth:3,0.20637562662644726,0.41018323600292206,0.4016444832086563,-0.10067000867438547,-0.052518162361333554,20561.244249343872,128.52251529693604
analcatdata_gsssexsurvey.csv,XGBoost,4,n_estimators:50 learning_rate:0.005 max_depth:6,0.35162908380029095,0.5351363737136126,0.46118102967739105,-0.2678457106038661,0.006123601266812995,18744.404792785645,124.9462366104126
analcatdata_gsssexsurvey.csv,XGBoost,5,n_estimators:200 learning_rate:0.01 max_depth:9,0.5655690586236874,0.549248781055212,0.34340667724609375,-0.16762644361019352,-0.1668703161312033,17964.588403701782,136.50953769683838
analcatdata_gsssexsurvey.csv,XGBoost,6,n_estimators:200 learning_rate:0.005 max_depth:3,1.045642153727968,0.6520480327308178,0.36967018246650696,0.07054030779736165,0.08580894153063312,18732.728004455566,128.12018394470215
analcatdata_gsssexsurvey.csv,XGBoost,7,n_estimators:100 learning_rate:0.005 max_depth:3,0.6747699254118624,0.6239078138023615,0.42858313024044037,0.08116435688597456,0.08573903104354941,20370.60523033142,124.35019016265869
analcatdata_gsssexsurvey.csv,XGBoost,8,n_estimators:100 learning_rate:0.005 max_depth:3,1.0858371508826181,0.6945911552757025,0.4286786615848541,0.031448395031532295,0.03145478691968118,19335.93463897705,126.5406608581543
analcatdata_gsssexsurvey.csv,XGBoost,9,n_estimators:200 learning_rate:0.005 max_depth:9,0.34522529106286237,0.5101652927696705,0.4128880947828293,0.039373103129426434,0.03944520900864901,19310.85205078125,133.81242752075195
analcatdata_gsssexsurvey.csv,XGBoost,10,n_estimators:200 learning_rate:0.01 max_depth:3,0.7055723172386441,0.5775300780932109,0.359874427318573,-0.10245674568538132,-0.09297977708213234,20574.915647506714,137.72646586100262
analcatdata_gviolence.csv,XGBoost,1,n_estimators:50 learning_rate:0.1 max_depth:3,126770.70996738877,264.2434844970703,172.86688232421875,-0.2915723291947603,-0.20779030975619484,16904.32572364807,224.17306900024414
analcatdata_gviolence.csv,XGBoost,2,n_estimators:500 learning_rate:0.005 max_depth:3,89095.14247653529,266.8621940612793,245.0311737060547,0.27761232199056396,0.3254690132246906,15061.668872833252,249.02820587158203
analcatdata_gviolence.csv,XGBoost,3,n_estimators:500 learning_rate:0.005 max_depth:3,64649.56126213481,203.70835494995117,179.52520751953125,0.12139733071311609,0.14776830154178033,16259.391784667969,244.1704273223877
analcatdata_gviolence.csv,XGBoost,4,n_estimators:50 learning_rate:0.05 max_depth:6,88984.59698257537,244.69600296020508,216.39761352539062,-0.2422724535299261,0.020337051551712393,15920.126676559448,226.22942924499512
analcatdata_gviolence.csv,XGBoost,5,n_estimators:500 learning_rate:0.005 max_depth:3,65098.54653354601,226.88643973214286,219.20526123046875,0.17198447812136963,0.20683008967700278,14207.742929458618,272.2740173339844
analcatdata_gviolence.csv,XGBoost,6,n_estimators:50 learning_rate:0.1 max_depth:6,120374.08766233378,286.07347978864397,212.14935302734375,-0.4579315377707096,-0.22201305528559612,15615.476846694946,262.1923174176897
analcatdata_gviolence.csv,XGBoost,7,n_estimators:50 learning_rate:0.05 max_depth:6,174504.36662934627,364.30855451311385,288.7353515625,-1.0787217839724645,-0.04137298183466287,16382.619857788086,256.6746303013393
